Web Server Misconfiguration,File Path,Category
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Denial of service attacks
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Permission Management
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Session hijacking
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Brute force attacks
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Dangerous methods enabled
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Permission Management
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,SSL
Cipher algorithms which do not provide perfect forward secrecy are not disabled (IIS),C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,SSL
IIS server is using default cipher suites,C:\TayqaSale\WebServices\DynamicToolManagementPortal\WebUI,SSL
Ensure host headers are on all sites,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Denial of service attacks
Ensure global authorization rule is set to restrict access,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Permission Management
Ensure httpcookie mode is configured for session state,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Session hijacking
Ensure non-ASCII characters in URLs are not allowed,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Brute force attacks
Ensure HTTP Trace Method is disabled,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Dangerous methods enabled
Ensure Unlisted File Extensions are not allowed,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Permission Management
Ensure Dynamic IP Address Restrictions is enabled,C:\TayqaSale\WebServices\CampaignManagementPortal\Core,Denial of service attacks
Ensure TLS 1.0 is disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\Core,SSL
Ensure NULL Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\Core,SSL
Ensure DES and 3DES Cipher Suites are disabled (IIS),C:\TayqaSale\WebServices\CampaignManagementPortal\Core,SSL
